y,H/D,Esr/Eo
0.448,3.991,5
0.471,3.906,5
0.493,3.821,5
0.516,3.735,5
0.538,3.650,5
0.561,3.565,5
0.583,3.480,5
0.608,3.396,5
0.633,3.311,5
0.659,3.227,5
0.686,3.144,5
0.715,3.061,5
0.750,2.980,5
0.785,2.899,5
0.819,2.818,5
0.858,2.740,5
0.907,2.666,5
0.956,2.593,5
1.005,2.520,5
1.062,2.453,5
1.122,2.389,5
1.182,2.324,5
1.243,2.261,5
1.310,2.204,5
1.377,2.147,5
1.447,2.094,5
1.521,2.046,5
1.595,1.999,5
1.669,1.952,5
1.748,1.912,5
1.827,1.873,5
1.905,1.833,5
1.984,1.794,5
2.063,1.754,5
2.142,1.716,5
2.222,1.679,5
2.302,1.643,5
2.382,1.606,5
2.462,1.570,5
2.542,1.533,5
2.622,1.496,5
0.371,3.995,7
0.392,3.902,7
0.412,3.809,7
0.433,3.716,7
0.454,3.623,7
0.475,3.531,7
0.497,3.438,7
0.526,3.348,7
0.555,3.257,7
0.584,3.167,7
0.613,3.076,7
0.642,2.986,7
0.672,2.895,7
0.709,2.808,7
0.745,2.720,7
0.782,2.632,7
0.825,2.547,7
0.872,2.465,7
0.920,2.383,7
0.967,2.300,7
1.025,2.225,7
1.086,2.152,7
1.147,2.079,7
1.213,2.011,7
1.283,1.947,7
1.353,1.883,7
1.426,1.822,7
1.505,1.768,7
1.584,1.717,7
1.668,1.672,7
1.752,1.627,7
1.838,1.585,7
1.923,1.544,7
2.009,1.503,7
2.096,1.466,7
2.185,1.431,7
2.273,1.396,7
2.362,1.361,7
2.450,1.326,7
2.538,1.291,7
2.627,1.256,7
0.287,3.991,10
0.310,3.893,10
0.333,3.796,10
0.356,3.699,10
0.379,3.601,10
0.402,3.504,10
0.427,3.407,10
0.452,3.310,10
0.477,3.214,10
0.502,3.117,10
0.530,3.021,10
0.558,2.925,10
0.587,2.829,10
0.616,2.733,10
0.651,2.640,10
0.691,2.548,10
0.733,2.458,10
0.776,2.367,10
0.823,2.279,10
0.873,2.193,10
0.929,2.109,10
0.988,2.029,10
1.055,1.955,10
1.124,1.882,10
1.195,1.813,10
1.270,1.746,10
1.353,1.691,10
1.436,1.635,10
