y,H/D,Fi
2.627,1.340,46
2.562,1.307,46
2.498,1.273,46
2.433,1.240,46
2.369,1.206,46
2.305,1.172,46
2.240,1.139,46
2.176,1.105,46
2.111,1.072,46
2.047,1.038,46
1.982,1.004,46
1.918,0.971,46
1.853,0.937,46
1.789,0.903,46
1.724,0.870,46
1.660,0.836,46
1.595,0.803,46
1.531,0.769,46
1.466,0.737,46
1.401,0.704,46
1.336,0.671,46
1.271,0.639,46
1.206,0.606,46
1.141,0.573,46
1.076,0.541,46
1.011,0.508,46
0.946,0.476,46
0.881,0.444,46
0.815,0.413,46
0.750,0.381,46
0.684,0.349,46
0.619,0.317,46
0.555,0.283,46
0.491,0.248,46
0.428,0.212,46
0.364,0.177,46
0.301,0.142,46
0.237,0.106,46
0.174,0.071,46
0.110,0.035,46
0.047,0.000,46
2.621,1.444,44
2.556,1.408,44
2.491,1.372,44
2.426,1.337,44
2.361,1.301,44
2.296,1.265,44
2.231,1.229,44
2.166,1.194,44
2.101,1.158,44
2.037,1.122,44
1.972,1.086,44
1.907,1.051,44
1.842,1.015,44
1.777,0.979,44
1.712,0.944,44
1.647,0.908,44
1.582,0.872,44
1.518,0.836,44
1.453,0.801,44
1.388,0.765,44
1.323,0.729,44
1.258,0.693,44
1.193,0.658,44
1.129,0.622,44
1.064,0.585,44
0.999,0.549,44
0.935,0.513,44
0.870,0.477,44
0.806,0.440,44
0.741,0.404,44
0.676,0.368,44
0.612,0.332,44
0.547,0.295,44
0.483,0.259,44
0.418,0.223,44
0.354,0.186,44
0.290,0.149,44
0.225,0.113,44
0.161,0.075,44
0.097,0.038,44
0.034,0.000,44
2.620,1.544,42
2.556,1.504,42
2.492,1.464,42
2.428,1.424,42
2.362,1.386,42
2.297,1.349,42
2.231,1.312,42
2.165,1.274,42
2.100,1.237,42
2.034,1.199,42
1.969,1.161,42
1.904,1.123,42
1.838,1.085,42
1.773,1.046,42
1.708,1.008,42
1.643,0.970,42
1.578,0.931,42
1.513,0.892,42
1.449,0.853,42
1.384,0.813,42
1.320,0.774,42
1.255,0.734,42
1.190,0.696,42
1.125,0.657,42
1.060,0.619,42
0.995,0.580,42
0.930,0.542,42
0.865,0.503,42
0.800,0.465,42
0.735,0.426,42
0.670,0.388,42
0.605,0.349,42
0.540,0.310,42
0.475,0.271,42
0.410,0.233,42
0.345,0.194,42
0.280,0.155,42
0.215,0.117,42
0.150,0.078,42
0.086,0.039,42
0.021,0.000,42
2.622,1.649,40
2.556,1.609,40
2.490,1.569,40
2.424,1.528,40
2.358,1.488,40
2.292,1.448,40
2.226,1.408,40
2.161,1.367,40
2.096,1.326,40
2.031,1.284,40
1.966,1.243,40
1.901,1.201,40
1.836,1.160,40
1.771,1.118,40
1.706,1.077,40
1.641,1.035,40
1.576,0.994,40
1.511,0.952,40
1.446,0.911,40
1.381,0.869,40
1.316,0.828,40
1.251,0.786,40
1.186,0.745,40
1.121,0.703,40
1.056,0.661,40
0.991,0.620,40
0.926,0.578,40
0.861,0.537,40
0.796,0.495,40
0.731,0.453,40
0.667,0.411,40
0.602,0.368,40
0.538,0.326,40
0.473,0.284,40
0.407,0.244,40
0.342,0.203,40
0.276,0.163,40
0.210,0.122,40
0.145,0.081,40
0.079,0.041,40
0.014,0.000,40
2.620,1.753,38
2.555,1.709,38
2.490,1.666,38
2.424,1.622,38
2.359,1.578,38
2.293,1.535,38
2.228,1.491,38
2.163,1.447,38
2.097,1.404,38
2.032,1.360,38
1.966,1.317,38
1.901,1.273,38
1.835,1.230,38
1.769,1.187,38
1.704,1.143,38
1.638,1.100,38
1.573,1.056,38
1.507,1.012,38
1.442,0.968,38
1.377,0.925,38
1.312,0.881,38
1.246,0.837,38
1.181,0.793,38
1.116,0.749,38
1.051,0.705,38
0.986,0.660,38
0.922,0.615,38
0.858,0.569,38
0.794,0.524,38
0.730,0.478,38
0.666,0.432,38
0.601,0.387,38
0.537,0.342,38
0.471,0.299,38
0.406,0.255,38
0.340,0.212,38
0.273,0.170,38
0.207,0.128,38
0.141,0.086,38
0.075,0.043,38
0.009,0.000,38
2.624,1.861,36
2.559,1.815,36
2.493,1.769,36
2.427,1.723,36
2.361,1.677,36
2.295,1.631,36
2.229,1.585,36
2.163,1.539,36
2.097,1.494,36
2.031,1.449,36
1.964,1.403,36
1.898,1.357,36
1.833,1.311,36
1.767,1.265,36
1.702,1.217,36
1.638,1.170,36
1.573,1.122,36
1.508,1.075,36
1.443,1.027,36
1.378,0.980,36
1.313,0.934,36
1.247,0.887,36
1.182,0.840,36
1.116,0.794,36
1.051,0.747,36
0.986,0.700,36
0.921,0.653,36
0.857,0.605,36
0.793,0.555,36
0.730,0.506,36
0.667,0.455,36
0.604,0.406,36
0.540,0.357,36
0.474,0.311,36
0.407,0.267,36
0.340,0.223,36
0.273,0.179,36
0.206,0.134,36
0.139,0.089,36
0.072,0.045,36
0.006,0.000,36
2.616,1.954,34
2.550,1.907,34
2.484,1.859,34
2.418,1.811,34
2.352,1.763,34
2.286,1.715,34
2.220,1.666,34
2.154,1.618,34
2.088,1.570,34
2.023,1.521,34
1.957,1.472,34
1.892,1.423,34
1.827,1.374,34
1.762,1.325,34
1.697,1.275,34
1.632,1.226,34
1.567,1.176,34
1.502,1.127,34
1.437,1.077,34
1.373,1.028,34
1.308,0.978,34
1.243,0.928,34
1.178,0.879,34
1.114,0.829,34
1.049,0.779,34
0.985,0.728,34
0.921,0.678,34
0.857,0.627,34
0.794,0.575,34
0.731,0.524,34
0.668,0.471,34
0.605,0.419,34
0.540,0.370,34
0.474,0.322,34
0.406,0.277,34
0.338,0.232,34
0.270,0.186,34
0.203,0.139,34
0.136,0.093,34
0.069,0.046,34
0.002,0.000,34
2.614,2.089,32
2.549,2.036,32
2.484,1.984,32
2.418,1.931,32
2.353,1.879,32
2.288,1.827,32
2.223,1.774,32
2.157,1.722,32
2.092,1.669,32
2.027,1.617,32
1.962,1.564,32
1.896,1.512,32
1.831,1.460,32
1.766,1.408,32
1.700,1.355,32
1.635,1.303,32
1.569,1.251,32
1.504,1.199,32
1.439,1.147,32
1.373,1.094,32
1.308,1.042,32
1.242,0.990,32
1.177,0.938,32
1.114,0.883,32
1.051,0.827,32
0.988,0.772,32
0.926,0.717,32
0.862,0.662,32
0.798,0.608,32
0.734,0.554,32
0.673,0.497,32
0.611,0.440,32
0.546,0.388,32
0.480,0.337,32
0.411,0.290,32
0.341,0.243,32
